,id,client_name,date,date_register,value
0,3351,Olivia Mitchell,2022-01-28,2019-04-07,90.52006996518756
1,6953,Tyler Martinez,2022-02-28,2019-10-11,75.05104888458047
2,9478,Gloria Craig,2022-01-23,2020-06-08,23.24954377543521
3,8987,Tammy Becker,2022-02-02,2021-05-21,79.75888587560017
4,7006,Jerry Owens,2022-03-11,2021-11-21,66.02434523611281
5,9446,Kelly Gomez,2022-02-08,2020-03-18,77.75079013288256
6,5469,Jessica Hughes,2022-02-24,2021-03-06,55.75366655653022
7,5741,Cynthia Donaldson,2022-02-24,2020-11-14,95.82437365293201
8,3226,Lawrence Fuentes,2022-02-03,2020-11-02,64.90432977501615
9,8764,Lisa West,2022-01-02,2021-11-15,53.19919195647883
10,9411,Randy Riley,2022-03-17,2019-06-06,3.7739981667680333
11,5429,Patrick Ryan,2021-12-26,2020-06-27,2.379912666086015
12,4947,John Sanchez,2022-02-04,2021-03-10,88.44261285895712
13,5846,Keith Carey,2021-12-27,2020-12-05,26.143160212025606
14,6697,Jeremy Cook,2022-01-05,2021-02-12,11.35749677831549
15,6330,Dennis Espinoza,2022-02-25,2019-03-27,67.09631259901202
16,4103,Lynn Harper,2022-03-06,2020-02-24,73.77005729525365
17,5886,Karla Robinson,2022-01-17,2019-06-09,2.9214774093474616
18,6213,Stephanie Brown,2022-02-17,2020-02-20,57.561227578758455
19,5784,Cindy Maxwell,2022-01-07,2021-09-04,72.2512433466704
20,6732,Denise Ramos,2022-02-25,2020-05-02,87.43822208183897
21,8380,Aaron Brown,2022-01-09,2021-07-11,12.003986138166855
22,6193,Holly Williams,2022-02-10,2019-05-19,40.022490861150885
23,8315,Julie Jimenez,2022-02-12,2022-01-02,98.77128487762425
24,2171,Matthew Owens,2022-03-19,2020-11-30,72.4607527795758
25,8521,Christina Beck,2022-02-01,2019-04-05,2.9250096717523655
26,8847,Amy Davis,2022-02-03,2021-02-15,23.49927344980427
27,8929,Kayla Cobb,2022-03-20,2021-04-18,90.13125922872837
28,5336,Jodi Galloway,2022-01-10,2019-11-02,1.4914069148175613
29,4318,Jessica David,2022-01-31,2021-12-12,32.338151963398886
30,5057,Theresa Atkins,2022-03-21,2022-01-12,61.771904602595896
31,1518,Kimberly Morgan,2022-01-03,2019-09-29,68.62287180051129
32,8642,Michelle Barrera,2022-02-27,2021-05-25,71.93080876923487
